Museum,SpecimenPfx,SpecimenNumber,SpecimenSfx,RecordNumber,FieldNumber,YearFound,StudyArea,Locality,CollectingArea,AreaModifier,Formation,Member,Level,StratigraphicUnit,Excavation,SqrNmbr,Class,Order,Family,FamilyCode,Subfamily,TribeCode,Tribe,GenusCode,GenusQualifier,Genus,SpeciesQualifier,Species,BodyElement,Side,BodyElementCode,PartDescription,PublicationAuthor,YearPublished,YearPublishedSfx
KNM,ER,1401,,,71-610,1971,East Turkana,Ileret,1,A,Koobi Fora,Okote,,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,aethiopicus,Mandible,Lt. and Rt.,30,"fragment with symphysis, C and I roots",J. Harris,1991,d
KNM,ER,1402,,,DF 1421,,East Turkana,Bura Hasuma,123,,Koobi Fora,Burgi,Upper,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,karumensis,Mandible,Lt. and Rt.,30,edentulous fragment with symphysis,J. Harris,1991,d
KNM,ER,1402,,,,,East Turkana,Ileret,1,,Koobi Fora,Okote,,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,karumensis,Mandible,,30,edentulous fragment with symphysis,J. Harris,1991,d
KNM,ER,1403,A,1,71-612,1971,East Turkana,Ileret,8,A,Koobi Fora,KBS,,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,2,,Hippopotamus,,gorgops,LC,Lt.,6,nearly complete,J. Harris,1991,d
KNM,ER,1403,B,2,71-612,1971,East Turkana,Ileret,8,A,Koobi Fora,KBS,,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,2,,Hippopotamus,,gorgops,LI1,U,2,nearly complete,J. Harris,1991,d
KNM,ER,1404,,1,71-212,1971,East Turkana,Karari Ridge,130,,Koobi Fora,Burgi,Upper,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,karumensis,Mandible,Lt. and Rt.,30,fragment with symphysis,J. Harris,1991,d
KNM,ER,1404,,2,71-212,1971,East Turkana,Karari Ridge,130,,Koobi Fora,Burgi,Upper,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,karumensis,Mandible,Lt. and Rt.,30,fragments with tooth roots,J. Harris,1991,d
KNM,ER,1404,,3,71-212,1971,East Turkana,Karari Ridge,130,,Koobi Fora,Burgi,Upper,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,karumensis,LC,Rt.,6,distal fragment,J. Harris,1991,d
KNM,ER,1404,,4,71-212,1971,East Turkana,Karari Ridge,130,,Koobi Fora,Burgi,Upper,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,karumensis,LP4,Lt.,11,complete,J. Harris,1991,d
KNM,ER,1405,,,71-187,1971,East Turkana,Koobi Fora Ridge,103,,Koobi Fora,KBS,,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,aethiopicus,Cranium,Lt. and Rt.,28,fragment with Rt. P4-M3 complete,J. Harris,1991,d
KNM,ER,1406,,,DF 1169,,East Turkana,Koobi Fora Ridge,103,,Koobi Fora,KBS,,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,aethiopicus,Mandible,Lt. and Rt.,30,"nearly complete with symphysis, Lt. C frag., M1-M2 complete",J. Harris,1991,d
KNM,ER,1407,A,1,71-210,1971,East Turkana,Karari Ridge,105,,Koobi Fora,Burgi,Upper,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,karumensis,Humerus,Lt.,36,proximal fragment,J. Harris,1991,d
KNM,ER,1407,B,2,71-210,1971,East Turkana,Karari Ridge,105,,Koobi Fora,Burgi,Upper,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,karumensis,Astragalus,Lt.,47,complete,J. Harris,1991,d
KNM,ER,1407,C,3,71-210,1971,East Turkana,Karari Ridge,105,,Koobi Fora,Burgi,Upper,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,karumensis,Calcaneum,Lt.,47,complete,J. Harris,1991,d
KNM,ER,1407,D,4,71-210,1971,East Turkana,Karari Ridge,105,,Koobi Fora,Burgi,Upper,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,karumensis,Cuboid,Lt.,47,complete,J. Harris,1991,d
KNM,ER,1407,E,5,71-210,1971,East Turkana,Karari Ridge,105,,Koobi Fora,Burgi,Upper,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,karumensis,Navicular,Lt.,47,complete,J. Harris,1991,d
KNM,ER,1407,F,6,71-210,1971,East Turkana,Karari Ridge,105,,Koobi Fora,Burgi,Upper,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,karumensis,Pisiform,U,39,complete,J. Harris,1991,d
KNM,ER,1407,G,7,71-210,1971,East Turkana,Karari Ridge,105,,Koobi Fora,Burgi,Upper,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,karumensis,Metatarsal II,Rt.,48,complete,J. Harris,1991,d
KNM,ER,1407,H,8,71-210,1971,East Turkana,Karari Ridge,105,,Koobi Fora,Burgi,Upper,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,karumensis,Metatarsal II,Lt.,48,complete,J. Harris,1991,d
KNM,ER,1407,I,9,71-210,1971,East Turkana,Karari Ridge,105,,Koobi Fora,Burgi,Upper,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,karumensis,Metatarsal III,Lt.,48,complete,J. Harris,1991,d
KNM,ER,1407,J,10,71-210,1971,East Turkana,Karari Ridge,105,,Koobi Fora,Burgi,Upper,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,karumensis,Metatarsal IV,Lt.,48,complete,J. Harris,1991,d
KNM,ER,1408,A,1,71-215,1971,East Turkana,Karari Ridge,130,,Koobi Fora,Burgi,Upper,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,karumensis,Maxilla,Rt.,29,fragment with P4-M3 complete,J. Harris,1991,d
KNM,ER,1408,B,2,71-215,1971,East Turkana,Karari Ridge,130,,Koobi Fora,Burgi,Upper,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,karumensis,Mandible,Lt. and Rt.,30,edentulous fragment with symphysis,J. Harris,1991,d
KNM,ER,1409,,,71-613,1971,East Turkana,Ileret,1,,Koobi Fora,Okote,,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,2,,Hippopotamus,,gorgops,Mandible,Lt.,30,fragment with M3 nearly complete,J. Harris,1991,d
KNM,ER,1411,A-B,1,71-189,1971,East Turkana,Koobi Fora Ridge,102,,Koobi Fora,KBS,,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,karumensis,Maxilla & premaxilla,Lt. and Rt.,29,fragment with tooth roots,J. Harris,1991,d
KNM,ER,1411,C,2,71-189,1971,East Turkana,Koobi Fora Ridge,102,,Koobi Fora,KBS,,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,karumensis,Mandible,Lt. and Rt.,30,edentulous fragment with symphysis,J. Harris,1991,d
KNM,ER,1411,D,3,71-189,1971,East Turkana,Koobi Fora Ridge,102,,Koobi Fora,KBS,,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,karumensis,Mandible,Rt.,30,fragment with M3 complete,J. Harris,1991,d
KNM,ER,1411,E,4,71-189,1971,East Turkana,Koobi Fora Ridge,102,,Koobi Fora,KBS,,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,karumensis,Mandible,Rt.,30,fragment with M2 frag,J. Harris,1991,d
KNM,ER,1411,F,5,71-189,1971,East Turkana,Koobi Fora Ridge,102,,Koobi Fora,KBS,,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,karumensis,Maxilla,Rt.,29,fragment with tooth roots,J. Harris,1991,d
KNM,ER,1411,G-H,6,71-189,1971,East Turkana,Koobi Fora Ridge,102,,Koobi Fora,KBS,,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,karumensis,Mandible,Lt. and Rt.,30,fragments with symphysis and tooth roots,J. Harris,1991,d
KNM,ER,1411,I,7,71-189,1971,East Turkana,Koobi Fora Ridge,102,,Koobi Fora,KBS,,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,karumensis,Cuboid,Rt.,47,complete,J. Harris,1991,d
KNM,ER,1411,J,8,71-189,1971,East Turkana,Koobi Fora Ridge,102,,Koobi Fora,KBS,,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,karumensis,Scaphoid,Rt.,39,complete,J. Harris,1991,d
KNM,ER,1411,K,9,71-189,1971,East Turkana,Koobi Fora Ridge,102,,Koobi Fora,KBS,,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,karumensis,Metacarpal IV,Rt.,40,proximal fragment,J. Harris,1991,d
KNM,ER,1411,L,10,71-189,1971,East Turkana,Koobi Fora Ridge,102,,Koobi Fora,KBS,,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,karumensis,Metacarpal III,Lt.,40,nearly complete,J. Harris,1991,d
KNM,ER,1411,M,11,71-189,1971,East Turkana,Koobi Fora Ridge,102,,Koobi Fora,KBS,,,,,Mammalia,Artiodactyla,Hippopotamidae,67,,,,1,,Hexaprotodon,,karumensis,Metatarsal II,Rt.,48,complete,J. Harris,1991,d
